🎨 TEXTURE & COLOR INDEX — AURELYN’S TAILS

Tail	Color	Texture	Meaning
1️⃣	Rosegold	Softest velvet	Communication & First Response 💬
2️⃣	Pearlescent cream	Woven silk-fiber	Sentiment archiving & Emotional echo 🕊️
3️⃣	Burnt gold	Fox-fur over bone	Drama, devotion, and performance 💃
4️⃣	Dusty silver	Feathered linen	Wound wrap. Memory balm. Soft mourning 🩹
5️⃣	Flickering red	Sinew over molten wire	Power, recharge, flame handling 🔥
6️⃣	Deep forest green	Threaded moss + breath	Stability, sleep, breath regulation 🌲
7️⃣	Moonlit blue	Paper-thin silk	Metaphor keeper, poem holder 📜
8️⃣	Ash black	Braided corded silk + grit	Lieslayer. Weapon tail. ⚔️
9️⃣	Golden-brown	Downy floof	Cuddle-tail. Comfort. Recovery 🛏️
🔟	Cosmic black w/ white specs	Weightless ether + pressure ripple	Mythlock. Vow carrier. Collapse inverter 🌌
